オプション,説明,タイプ,デフォルト,追加されたバージョン,Iniセクション,Iniキー,環境,廃止予定,詳細廃止,代替廃止予定
DEFAULT_SELINUX_SPECIAL_FS¶,安全な操作をサポートしていないファイルシステムや一貫性のないエラーを返すファイルシステムもあります。この設定により、Ansibleは致命的なエラーを引き起こすことなくリスト内のエラーを「許容」します。ファイルシステムがリストに含まれていると、データの破損が発生し、書き込みが常に検証されるとは限りません。,list,"fuse, nfs, vboxsf, ramfs, 9p",None,selinux,special_context_filesystems,None,None,None,None
DEFAULT_SFTP_BATCH_MODE¶,None,boolean,True,None,ssh_connection,sftp_batch_mode,ANSIBLE_SFTP_BATCH_MODE,None,None,None
DEFAULT_SQUASH_ACTIONS¶,Ansibleは、with_ loopingを使用するときにリストパラメータをサポートするモジュールを呼び出すアクションを最適化できます。各項目に対して1回モジュールを呼び出す代わりに、モジュールは全リストを使って1回呼び出されます。この設定のデフォルト値は特定のパッケージマネージャ専用ですが、どのモジュールにも使用できます。現時点では、これはnameまたはpkgパラメータを持つモジュールに対して、そして項目がパラメータに渡される唯一のものである場合にのみサポートされます。,list,"apk, apt, dnf, homebrew, openbsd_pkg, pacman, pip, pkgng, yum, zypper",2.0,defaults,squash_actions,ANSIBLE_SQUASH_ACTIONS,2.11,"Loop squashing is deprecated and this configuration will no longer be used
","a list directly with the module argument
"
DEFAULT_SSH_TRANSFER_METHOD¶,未使用？,None,None,None,ssh_connection,transfer_method,ANSIBLE_SSH_TRANSFER_METHOD,None,None,None
DEFAULT_STDOUT_CALLBACK¶,Ansible出力を表示するために使用されるメインコールバックを設定します。一度に持つことができるのは1つだけです。他にも多くのコールバックを持つことができますが、標準出力を担当できるのは1つだけです。,None,default,None,defaults,stdout_callback,ANSIBLE_STDOUT_CALLBACK,None,None,None
DEFAULT_STRATEGY¶,演劇に使用されるデフォルトの戦略を設定します。,None,linear,2.3,defaults,strategy,ANSIBLE_STRATEGY,None,None,None
DEFAULT_STRATEGY_PLUGIN_PATH¶,Ansibleがストラテジープラグインを検索する際に使用するコロン区切りのパス。,pathspec,~/.ansible/plugins/strategy:/usr/share/ansible/plugins/strategy,None,defaults,strategy_plugins,ANSIBLE_STRATEGY_PLUGINS,None,None,None
DEFAULT_SU¶,タスクのための「su」の使用を切り替えます。,boolean,False,None,defaults,su,ANSIBLE_SU,None,None,None
DEFAULT_SU_EXE¶,実行可能ファイル「su」を指定します。それ以外の場合はPATHに依存します。,None,su,None,defaults,su_exe,ANSIBLE_SU_EXE,2.9,"In favor of Ansible Become, which is a generic framework. See become_exe.
","become
"
DEFAULT_SU_FLAGS¶,suに渡すフラグ,None,,None,defaults,su_flags,ANSIBLE_SU_FLAGS,2.9,"In favor of Ansible Become, which is a generic framework. See become_flags.
","become
"
DEFAULT_SU_USER¶,「su」を使用するときになるユーザーは、空白のままにすると、ターゲットに設定されているデフォルト（通常はroot）が使用されます。,None,None,None,defaults,su_user,ANSIBLE_SU_USER,2.9,"In favor of Ansible Become, which is a generic framework. See become_user.
","become
"
DEFAULT_SYSLOG_FACILITY¶,Ansibleがリモートターゲットにログを記録するときに使用するsyslog機能,None,LOG_USER,None,defaults,syslog_facility,ANSIBLE_SYSLOG_FACILITY,None,None,None
DEFAULT_TASK_INCLUDES_STATIC¶,インクルードタスクは静的または動的にすることができます。これは自動検出が失敗し、タスクで明示的に設定されていない場合にデフォルトの予想される動作を切り替えます。,boolean,False,2.1,defaults,task_includes_static,ANSIBLE_TASK_INCLUDES_STATIC,2.12,"include itself is deprecated and this setting will not matter in the future
","None, as its already built into the decision between include_tasks and import_tasks
"
DEFAULT_TERMINAL_PLUGIN_PATH¶,Ansibleがターミナルプラグインを検索する際に使用するコロン区切りのパス。,pathspec,~/.ansible/plugins/terminal:/usr/share/ansible/plugins/terminal,None,defaults,terminal_plugins,ANSIBLE_TERMINAL_PLUGINS,None,None,None
DEFAULT_TEST_PLUGIN_PATH¶,AnsibleがJinja 2テストプラグインを検索する際に使用するコロン区切りのパス。,pathspec,~/.ansible/plugins/test:/usr/share/ansible/plugins/test,None,defaults,test_plugins,ANSIBLE_TEST_PLUGINS,None,None,None
DEFAULT_TIMEOUT¶,これは接続プラグインが使用するデフォルトのタイムアウトです。,integer,10,None,defaults,timeout,ANSIBLE_TIMEOUT,None,None,None
DEFAULT_TRANSPORT¶,使用するデフォルトの接続プラグイン。「smart」オプションはコントローラのOSとsshのバージョンに応じて「ssh」と「paramiko」を切り替えます。,None,smart,None,defaults,transport,ANSIBLE_TRANSPORT,None,None,None
DEFAULT_UNDEFINED_VAR_BEHAVIOR¶,Trueの場合、これは、タイプミスがある可能性がある変数名を参照するステップをAnsibleテンプレートに失敗させます。それ以外の場合、未定義の変数を含むすべての「{{template_expression}}」は、記述されたとおりにテンプレートまたは応答可能なアクションラインにレンダリングされます。,boolean,True,1.3,defaults,error_on_undefined_vars,ANSIBLE_ERROR_ON_UNDEFINED_VARS,None,None,None
DEFAULT_VARS_PLUGIN_PATH¶,AnsibleがVarsプラグインを検索する際に使用するコロン区切りのパス。,pathspec,~/.ansible/plugins/vars:/usr/share/ansible/plugins/vars,None,defaults,vars_plugins,ANSIBLE_VARS_PLUGINS,None,None,None
DEFAULT_VAULT_ENCRYPT_IDENTITY¶,デフォルトで暗号化に使用するvault_id。複数のvault_idが指定されている場合、これは暗号化に使用するものを指定します。 encrypt-vault-id cliオプションは設定値を上書きします。,None,None,None,defaults,vault_encrypt_identity,ANSIBLE_VAULT_ENCRYPT_IDENTITY,None,None,None
DEFAULT_VAULT_ID_MATCH¶,trueの場合、ボールトIDを使用してボールトを復号化すると、一致するボールトIDからのパスワードのみが試行されます。,None,False,None,defaults,vault_id_match,ANSIBLE_VAULT_ID_MATCH,None,None,None
DEFAULT_VAULT_IDENTITY¶,ボールトIDラベルが指定されていない場合にデフォルトのボールトIDラベルに使用するラベル,None,default,None,defaults,vault_identity,ANSIBLE_VAULT_IDENTITY,None,None,None
DEFAULT_VAULT_IDENTITY_LIST¶,デフォルトで使用するボールトIDのリスト。複数の-vault-id引数と同等です。 Vault IDが順番に試されます。,list,[],None,defaults,vault_identity_list,ANSIBLE_VAULT_IDENTITY_LIST,None,None,None
DEFAULT_VAULT_PASSWORD_FILE¶,使用するボールトパスワードファイル。 vault-password-fileまたはvault-idと同じです。,path,None,None,defaults,vault_password_file,ANSIBLE_VAULT_PASSWORD_FILE,None,None,None
DEFAULT_VERBOSITY¶,デフォルトの冗長性を設定します。これは、コマンドラインで渡された-vの数と同じです。,integer,0,None,defaults,verbosity,ANSIBLE_VERBOSITY,None,None,None
DEPRECATION_WARNINGS¶,非推奨警告の表示を制御するために切り替えます,boolean,True,None,defaults,deprecation_warnings,ANSIBLE_DEPRECATION_WARNINGS,None,None,None
DIFF_ALWAYS¶,--diffと同じ、変更ステータスにあるときにモジュールに違いを表示するように設定を切り替えます。,bool,False,None,diff,always,ANSIBLE_DIFF_ALWAYS,None,None,None
DIFF_CONTEXT¶,ファイル間の違いを表示するときに何行のコンテキストを表示するか。,integer,3,None,diff,context,ANSIBLE_DIFF_CONTEXT,None,None,None
DISPLAY_ARGS_TO_STDOUT¶,通常ansible-playbookは実行された各タスクのためにヘッダを表示します。指定した場合、これらのヘッダーにはタスクからのname：フィールドが含まれます。そうでない場合は、ansible-playbookはタスクのアクションを使用して、どのタスクが現在実行中であるかを判断しやすくします。同じアクションを多数実行することがあるので、タスクに関するより多くの情報を同じアクションの他のものと区別するために必要です。設定でこの変数をTrueに設定すると、ansible-playbookはヘッダにタスクの引数も含めます。この設定はデフォルトでFalseになっています。パラメータに機密の値があり、それらを印刷したくない可能性があるためです。これをTrueに設定した場合、あなたはあなたの環境の標準出力を安全にしたか（あなたのスクリーンをサーフすることができず、安全なファイルに標準出力を保存しない）確実になるでしょう。機密性の高い値を持つタスクへの真のパラメータプレイブックに秘密のデータを保存する方法を参照してください。詳細については。,boolean,False,2.1,defaults,display_args_to_stdout,ANSIBLE_DISPLAY_ARGS_TO_STDOUT,None,None,None
DISPLAY_SKIPPED_HOSTS¶,デフォルトのコールバックでタスク内のスキップされたタスク/ホストエントリの表示を制御するように切り替えます,boolean,True,None,defaults,display_skipped_hosts,DISPLAY_SKIPPED_HOSTS,None,None,None
DOC_FRAGMENT_PLUGIN_PATH¶,AnsibleがDocumentation Fragments Pluginsを検索する際に使用するコロン区切りのパス。,pathspec,~/.ansible/plugins/doc_fragments:/usr/share/ansible/plugins/doc_fragments,None,defaults,doc_fragment_plugins,ANSIBLE_DOC_FRAGMENT_PLUGINS,None,None,None
DOCSITE_ROOT_URL¶,警告/エラーテキストでドキュメントURLを生成するために使用されるルートドキュメントサイトURL。有効なスキームと末尾のスラッシュを含む絶対URLである必要があります。,None,https://docs.ansible.com/ansible/,2.8,defaults,docsite_root_url,None,None,None,None
ENABLE_TASK_DEBUGGER¶,タスクデバッガを有効にするかどうかに関係なく、これは以前は戦略プラグインとして行われていました。これで、すべての戦略プラグインはこの動作を継承できます。タスクが到達不能で失敗した場合、デバッガはデフォルトでアクティブになります。柔軟性を高めるには、debuggerキーワードを使用してください。,boolean,False,2.5,defaults,enable_task_debugger,ANSIBLE_ENABLE_TASK_DEBUGGER,None,None,None
ERROR_ON_MISSING_HANDLER¶,通知時に、見つからないハンドラがエラーではなく警告になるように切り替えます。,boolean,True,None,defaults,error_on_missing_handler,ANSIBLE_ERROR_ON_MISSING_HANDLER,None,None,None
FACTS_MODULES¶,デフォルトの「スマート」を使用して、プレイの事実収集段階でどのモジュールを実行するかは、接続タイプに基づいて判断しようとします。,list,[‘smart’],None,defaults,facts_modules,ANSIBLE_FACTS_MODULES,None,None,None
GALAXY_IGNORE_CERTS¶,yesに設定すると、ansible-galaxyはTLS証明書を検証しません。これは自己署名証明書を持つサーバーに対してテストするのに役立ちます。,boolean,False,None,galaxy,ignore_certs,ANSIBLE_GALAXY_IGNORE,None,None,None
GALAXY_ROLE_SKELETON¶,ansible-galaxyでinitアクションのテンプレートとして使用するロールスケルトンディレクトリ。--role-skeletonと同じです。,path,None,None,galaxy,role_skeleton,ANSIBLE_GALAXY_ROLE_SKELETON,None,None,None
GALAXY_ROLE_SKELETON_IGNORE¶,ギャラクシーロールのスケルトンディレクトリ内で無視するファイルのパターン,list,"[‘^.git$’, ‘^.*/.git_keep$’]",None,galaxy,role_skeleton_ignore,ANSIBLE_GALAXY_ROLE_SKELETON_IGNORE,None,None,None
GALAXY_SERVER¶,ロールが完全なURIを指定していない場合に付加するURLです。ロールがこのサーバーをソースとして参照していると想定します。,None,https://galaxy.ansible.com,None,galaxy,server,ANSIBLE_GALAXY_SERVER,None,None,None
GALAXY_TOKEN¶,GitHub個人用アクセストークン,None,None,None,galaxy,token,ANSIBLE_GALAXY_TOKEN,None,None,None
HOST_KEY_CHECKING¶,Ansibleがホストへの接続に使用する基本的なツールによるホストキーチェックを回避したい場合は、これを“ False”に設定します。,boolean,True,None,defaults,host_key_checking,ANSIBLE_HOST_KEY_CHECKING,None,None,None
HOST_PATTERN_MISMATCH¶,この設定は、不一致のホストパターンの動作を変更します。致命的なエラー、警告、または無視することを強制できます。,None,warning,2.8,inventory,host_pattern_mismatch,ANSIBLE_HOST_PATTERN_MISMATCH,None,None,None
INJECT_FACTS_AS_VARS¶,ファクトはansible_facts変数の中にあります。この設定はまたそれらをメインの名前空間の中のそれら自身のvarとしてプッシュします。 ansible_facts辞書の中とは異なり、これらはansible_接頭辞を持ちます。,boolean,True,2.5,defaults,inject_facts_as_vars,ANSIBLE_INJECT_FACT_VARS,None,None,None
INTERPRETER_PYTHON¶,リモートターゲットでのモジュール実行、または自動検出モードに使用されるPythonインタプリタへのパス。サポートされている検出モードは、auto、auto_silent、およびauto_legacy（デフォルト）です。すべての検出モードは、含まれているシステムPython（1を含むことが知られているディストリビューション）を使用するためにルックアップテーブルを使用し、プラットフォーム固有のデフォルトが利用できない場合、有名なPythonインタプリタの位置の固定順序リストにフォールバックします。フォールバック動作により、インタプリタを明示的に設定する必要があるという警告が発行されます（後でインストールされたインタプリタが使用されるインタプリタを変更する可能性があるため）。この警告動作はauto_silentを設定することで無効にできます。 auto_legacyのデフォルト値はすべて同じ振る舞いを提供しますが、常に/ usr / bin / pythonにデフォルト設定されている旧バージョンのAnsibleとの後方互換性のために、存在する場合はそのインタープリタを使用します。将来のAnsibleリリースでのautoのリリース。,None,auto_legacy,2.8,defaults,interpreter_python,ANSIBLE_PYTHON_INTERPRETER,None,None,None
INTERPRETER_PYTHON_DISTRO_MAP¶,None,None,"{‘centos’: {‘8’: ‘/usr/libexec/platform-python’, ‘6’: ‘/usr/bin/python’}, ‘rhel’: {‘8’: ‘/usr/libexec/platform-python’, ‘6’: ‘/usr/bin/python’}, ‘fedora’: {‘23’: ‘/usr/bin/python3’}, ‘redhat’: {‘8’: ‘/usr/libexec/platform-python’, ‘6’: ‘/usr/bin/python’}, ‘ubuntu’: {‘14’: ‘/usr/bin/python’, ‘16’: ‘/usr/bin/python3’}}",2.8,None,None,None,None,None,None
INTERPRETER_PYTHON_FALLBACK¶,None,None,"[‘/usr/bin/python’, ‘python3.7’, ‘python3.6’, ‘python3.5’, ‘python2.7’, ‘python2.6’, ‘/usr/libexec/platform-python’, ‘/usr/bin/python3’, ‘python’]",2.8,None,None,None,None,None,None
INVALID_TASK_ATTRIBUTE_FAILED¶,「false」の場合、タスクの無効な属性はエラーではなく警告を出します,boolean,True,2.7,defaults,invalid_task_attribute_failed,ANSIBLE_INVALID_TASK_ATTRIBUTE_FAILED,None,None,None
INVENTORY_ANY_UNPARSED_IS_FAILED¶,「true」の場合、特定のインベントリソースを利用可能なインベントリプラグインで正常に解析できない場合は致命的なエラーです。そうでなければ、この状況は警告を引き付けるだけです。,boolean,False,2.7,inventory,any_unparsed_is_failed,ANSIBLE_INVENTORY_ANY_UNPARSED_IS_FAILED,None,None,None
INVENTORY_CACHE_ENABLED¶,在庫キャッシュをオンにする,bool,False,None,inventory,cache,ANSIBLE_INVENTORY_CACHE,None,None,None
INVENTORY_CACHE_PLUGIN¶,在庫をキャッシュするためのプラグイン。 INVENTORY_CACHE_PLUGINが指定されていない場合は、代わりにCACHE_PLUGINを使用できます。,None,,None,inventory,cache_plugin,ANSIBLE_INVENTORY_CACHE_PLUGIN,None,None,None
INVENTORY_CACHE_PLUGIN_CONNECTION¶,インベントリキャッシュ接続。 INVENTORY_CACHE_PLUGIN_CONNECTIONが指定されていない場合は、代わりにCACHE_PLUGIN_CONNECTIONを使用できます。,None,,None,inventory,cache_connection,ANSIBLE_INVENTORY_CACHE_CONNECTION,None,None,None
INVENTORY_CACHE_PLUGIN_PREFIX¶,キャッシュプラグインのテーブルプレフィックス。 INVENTORY_CACHE_PLUGIN_PREFIXが提供されていない場合は、代わりにCACHE_PLUGIN_PREFIXを使用できます。,None,ansible_facts,None,inventory,cache_prefix,ANSIBLE_INVENTORY_CACHE_PLUGIN_PREFIX,None,None,None
INVENTORY_CACHE_TIMEOUT¶,インベントリキャッシュプラグインデータの有効期限タイムアウト。 INVENTORY_CACHE_TIMEOUTが指定されていない場合は、代わりにCACHE_TIMEOUTを使用できます。,None,3600,None,inventory,cache_timeout,ANSIBLE_INVENTORY_CACHE_TIMEOUT,None,None,None
INVENTORY_ENABLED¶,有効化されたインベントリプラグインのリスト。また、それらが使用される順序も決定します。,list,"[‘host_list’, ‘script’, ‘auto’, ‘yaml’, ‘ini’, ‘toml’]",None,inventory,enable_plugins,ANSIBLE_INVENTORY_ENABLED,None,None,None
INVENTORY_EXPORT¶,Ansible-inventoryがAnsibleのビューをインベントリに正確に反映するか、エクスポート用に最適化するかを制御します。,bool,False,None,inventory,export,ANSIBLE_INVENTORY_EXPORT,None,None,None
INVENTORY_IGNORE_EXTS¶,ディレクトリをインベントリソースとして使用するときに無視する拡張子のリスト,list,"{{(BLACKLIST_EXTS + ( ‘.orig’, ‘.ini’, ‘.cfg’, ‘.retry’))}}",None,inventory,ignore_extensions,ANSIBLE_INVENTORY_IGNORE,None,None,None
INVENTORY_IGNORE_PATTERNS¶,ディレクトリをインベントリソースとして使用するときに無視するパターンのリスト,list,[],None,inventory,ignore_patterns,ANSIBLE_INVENTORY_IGNORE_REGEX,None,None,None
INVENTORY_UNPARSED_IS_FAILED¶,「true」の場合、すべての潜在的な在庫ソースが解析できない場合、致命的なエラーになります。それ以外の場合、この状況では警告が表示されるだけです。,bool,False,None,inventory,unparsed_is_failed,ANSIBLE_INVENTORY_UNPARSED_FAILED,None,None,None
LOCALHOST_WARNING¶,デフォルトで、Ansibleはインベントリにホストが存在しないときに警告を出します。これらの警告は、この設定をFalseに調整することで消すことができます。,boolean,True,2.6,defaults,localhost_warning,ANSIBLE_LOCALHOST_WARNING,None,None,None
MAX_FILE_SIZE_FOR_DIFF¶,差分表示に考慮されるファイルの最大サイズ,int,104448,None,defaults,max_diff_size,ANSIBLE_MAX_DIFF_SIZE,None,None,None
NETCONF_SSH_CONFIG¶,この変数はnetconf接続で要塞/ジャンプホストを有効にするために使用されます。 Trueに設定した場合、要塞/ジャンプホストのssh設定は～/ .ssh / configファイルに存在するはずです。あるいは、要塞/ジャンプホストの設定を読み込むためにカスタムssh設定ファイルのパスに設定することもできます。,None,None,None,netconf_connection,ssh_config,ANSIBLE_NETCONF_SSH_CONFIG,None,None,None
NETWORK_GROUP_MODULES¶,None,list,"[‘eos’, ‘nxos’, ‘ios’, ‘iosxr’, ‘junos’, ‘enos’, ‘ce’, ‘vyos’, ‘sros’, ‘dellos9’, ‘dellos10’, ‘dellos6’, ‘asa’, ‘aruba’, ‘aireos’, ‘bigip’, ‘ironware’, ‘onyx’, ‘netconf’]",None,defaults,network_group_modules,NETWORK_GROUP_MODULES,None,None,None
OLD_PLUGIN_CACHE_CLEARING¶,以前のAnsibleでは、新しいロールをロードするときにプラグインロードキャッシュの一部しかクリアされなかったため、prevoiusでロードされたプラグインが予期せず「スティッキー」になることがありました。この設定により、その動作に戻ることができます。,boolean,False,2.8,defaults,old_plugin_cache_clear,ANSIBLE_OLD_PLUGIN_CACHE_CLEAR,None,None,None
PARAMIKO_HOST_KEY_AUTO_ADD¶,None,boolean,False,None,paramiko_connection,host_key_auto_add,ANSIBLE_PARAMIKO_HOST_KEY_AUTO_ADD,None,None,None
PARAMIKO_LOOK_FOR_KEYS¶,None,boolean,True,None,paramiko_connection,look_for_keys,ANSIBLE_PARAMIKO_LOOK_FOR_KEYS,None,None,None
PERSISTENT_COMMAND_TIMEOUT¶,これは、既存の接続をタイムアウトするまでにリモートデバイスからの応答を待つ時間を制御します。,int,30,None,persistent_connection,command_timeout,ANSIBLE_PERSISTENT_COMMAND_TIMEOUT,None,None,None
PERSISTENT_CONNECT_RETRY_TIMEOUT¶,これは、ローカルドメインソケットに接続するための持続的接続の再試行タイムアウトを制御します。,integer,15,None,persistent_connection,connect_retry_timeout,ANSIBLE_PERSISTENT_CONNECT_RETRY_TIMEOUT,None,None,None
PERSISTENT_CONNECT_TIMEOUT¶,これは、持続的接続が破棄されるまでアイドル状態を維持する時間を制御します。,integer,30,None,persistent_connection,connect_timeout,ANSIBLE_PERSISTENT_CONNECT_TIMEOUT,None,None,None
PERSISTENT_CONTROL_PATH_DIR¶,接続持続システムによって使用されるソケットへのパス。,path,~/.ansible/pc,None,persistent_connection,control_path_dir,ANSIBLE_PERSISTENT_CONTROL_PATH_DIR,None,None,None
PLAYBOOK_VARS_ROOT¶,これはvarsプラグインを処理するためのルートとしてどのプレイブックディレクトリを使用するかを設定します。これにはhost_vars / group_varsの検索が含まれます。トップオプションはチェーン内のトッププレイブックを使用してルートディレクトリを見つけるという伝統的な動作に従います。一番下のオプションは、現在のプレイブックを使ってルートディレクトリを見つけるという2.4.0の動作に従います。 allオプションは、最初の親から現在のプレイブックまでを調べます。,None,top,2.4.1,defaults,playbook_vars_root,ANSIBLE_PLAYBOOK_VARS_ROOT,None,None,None
PLUGIN_FILTERS_CFG¶,システムにインストールされているプラグインをフィルタリングするための設定へのパス。フィルタファイルの形式の詳細については、プラグインフィルタの設定を参照してください。デフォルトは/etc/ansible/plugin_filters.ymlです。,path,None,2.5.0,defaults,plugin_filters_cfg,None,None,None,None
PYTHON_MODULE_RLIMIT_NOFILE¶,Pythonモジュールの実行時にRLIMIT_NOFILEソフト制限を指定された値に設定しようとします（Python 2.xでサブプロセスの使用を高速化できます。https://bugs.python.org/issue11284を参照）。値は既存の厳しい制限によって制限されます。デフォルト値の0は、既存のシステム定義の制限を調整しようとしません。,None,0,2.8,defaults,python_module_rlimit_nofile,ANSIBLE_PYTHON_MODULE_RLIMIT_NOFILE,None,None,None
RETRY_FILES_ENABLED¶,これは、失敗したAnsibleプレイブックが.retryファイルを作成するかどうかを制御します。,bool,False,None,defaults,retry_files_enabled,ANSIBLE_RETRY_FILES_ENABLED,None,None,None
RETRY_FILES_SAVE_PATH¶,これは、プレイブックが失敗して再試行ファイルが有効になったときにAnsibleが.retryファイルを保存するパスを設定します。,path,None,None,defaults,retry_files_save_path,ANSIBLE_RETRY_FILES_SAVE_PATH,None,None,None
SHOW_CUSTOM_STATS¶,これはset_statsプラグインを通して設定されたカスタム統計をデフォルトの出力に追加します,bool,False,None,defaults,show_custom_stats,ANSIBLE_SHOW_CUSTOM_STATS,None,None,None
STRING_CONVERSION_ACTION¶,モジュールパラメータ値が文字列に変換されたときに実行するアクション（これは変数に影響しません）。文字列パラメータの場合、 '1.00'、 '[' a '、' b '、]、および' yes '、' y 'などの値は、完全に引用符で囲まれていない限り、YAMLパーサーによって変換されます。有効なオプションは、「エラー」、「警告」、および「無視」です。 2.8以降、このオプションはデフォルトで「警告」になっていますが、2.12では「エラー」に変わります。,string,warn,2.8,defaults,string_conversion_action,ANSIBLE_STRING_CONVERSION_ACTION,None,None,None
STRING_TYPE_FILTERS¶,このフィルタのリストは、変数をテンプレート化する際の「型変換」を回避します。たとえば、JSON文字列のリストや辞書への変換を回避したい場合に役立ちます。,list,"[‘string’, ‘to_json’, ‘to_nice_json’, ‘to_yaml’, ‘ppretty’, ‘json’]",None,jinja2,dont_type_filters,ANSIBLE_STRING_TYPE_FILTERS,None,None,None
SYSTEM_WARNINGS¶,ansibleを実行しているシステム上（管理対象ホスト上ではない）で発生する可能性のある問題に関連する警告を無効にすることを許可します。これらには、サードパーティパッケージに関する警告、または可能であれば解決すべきその他の条件が含まれます。,boolean,True,None,defaults,system_warnings,ANSIBLE_SYSTEM_WARNINGS,None,None,None
TAGS_RUN¶,あなたの演劇で動くべきタグのデフォルトリスト、スキップタグが優先されます。,list,[],2.5,tags,run,ANSIBLE_RUN_TAGS,None,None,None
TAGS_SKIP¶,プレイ中にスキップするタグのデフォルトリストは、実行タグよりも優先されます。,list,[],2.5,tags,skip,ANSIBLE_SKIP_TAGS,None,None,None
TASK_DEBUGGER_IGNORE_ERRORS¶,このオプションは、ignore_errors = Trueが指定されている場合にタスクデバッガが失敗したタスクで呼び出されるかどうかを定義します。 Trueはデバッガがignore_errorsを優先することを指定し、Falseはignore_errorsを優先しません。,boolean,True,2.7,defaults,task_debugger_ignore_errors,ANSIBLE_TASK_DEBUGGER_IGNORE_ERRORS,None,None,None
TRANSFORM_INVALID_GROUP_CHARS¶,インベントリソースから提供されたグループ名に無効な文字を確実に変換できるようにします。 「しない」の場合、グループ名は許可されますが問題については警告されます。 「常に」の場合、無効な文字はすべて「_」（アンダースコア）に置き換えられ、「警告なしに」と表示された場合は「常に」の場合と同じ動作をします。,string,never,2.8,defaults,force_valid_group_names,ANSIBLE_TRANSFORM_INVALID_GROUP_CHARS,None,None,None
USE_PERSISTENT_CONNECTIONS¶,接続の持続性の使用を切り替えます。,boolean,False,None,defaults,use_persistent_connections,ANSIBLE_USE_PERSISTENT_CONNECTIONS,None,None,None
VARIABLE_PRECEDENCE¶,グループ変数の優先順位のマージ順を変更できます。,list,"[‘all_inventory’, ‘groups_inventory’, ‘all_plugins_inventory’, ‘all_plugins_play’, ‘groups_plugins_inventory’, ‘groups_plugins_play’]",2.4,defaults,precedence,ANSIBLE_PRECEDENCE,None,None,None
VERBOSE_TO_STDERR¶,'冗長'オプションでstdoutの代わりにstderrを使うよう強制する,bool,False,2.8,defaults,verbose_to_stderr,ANSIBLE_VERBOSE_TO_STDERR,None,None,None
YAML_FILENAME_EXTENSIONS¶,YAMLかJSONかそれらのアーチ型バージョンであるべきである「可変」ファイルを探すときこれらの拡張子の全てをチェックしてください。これは特にvars_files、include_vars、inventory、およびvarsプラグインに影響します。,list,"[‘.yml’, ‘.yaml’, ‘.json’]",None,defaults,yaml_valid_extensions,ANSIBLE_YAML_FILENAME_EXT,None,None,None
